year,daytime,jday,time,PAR,Tair,Rain,RH_orig,Wind,SolRad,RH
1988,1,1,0:00,0,-2.2,0,92,0.5,0,92
1988,1.04167,1,1:00,0,-2.6,0,92,0.7,0,92
1988,1.08333,1,2:00,0,-2.9,0,92,0.8,0,92
1988,1.125,1,3:00,0,-3.3,0,92,0.9,0,92
1988,1.16667,1,4:00,0,-3.7,0,92,0.7,0,92
1988,1.20833,1,5:00,0,-3.5,0,93,1,0,93
1988,1.25,1,6:00,0,-3,0,93,1.2,0,93
1988,1.29167,1,7:00,0,-2.9,0,93,0.8,0,93
1988,1.33333,1,8:00,9.2,-2.2,0,93,1.4,4,93
1988,1.375,1,9:00,85.1,-1.5,0,92,1.9,37,92
1988,1.41667,1,10:00,234.6,-0.9,0,91,1.9,102,91
1988,1.45833,1,11:00,501.4,1.2,0,89,1.3,218,89
1988,1.5,1,12:00,609.5,4.2,0,84,0.8,265,84
1988,1.54167,1,13:00,501.4,5.1,0,82,1,218,82
1988,1.58333,1,14:00,441.6,4.2,0,85,1.9,192,85
1988,1.625,1,15:00,397.9,5,0,83,2,173,83
1988,1.66667,1,16:00,186.3,5,0,83,1.3,81,83
1988,1.70833,1,17:00,32.2,4.4,0,84,1,14,84
1988,1.75,1,18:00,0,3.3,0,86,1.1,0,86
1988,1.79167,1,19:00,0,2.6,0,88,0.9,0,88
1988,1.83333,1,20:00,0,2.4,0,88,0.8,0,88
1988,1.875,1,21:00,0,2,0,89,1.8,0,89
1988,1.91667,1,22:00,0,1,0,91,2.2,0,91
1988,1.95833,1,23:00,0,0.7,0,92,1.8,0,92
1988,2,2,0:00,0,0.7,0,92,1.7,0,92
1988,2.04167,2,1:00,0,0.9,0,92,1.2,0,92
1988,2.08333,2,2:00,0,0.9,0,92,0.8,0,92
1988,2.125,2,3:00,0,1,0,92,1.1,0,92
1988,2.16667,2,4:00,0,0.9,0,92,1,0,92
1988,2.20833,2,5:00,0,0.7,0,92,0.6,0,92
1988,2.25,2,6:00,0,0.6,0,92,0.7,0,92
1988,2.29167,2,7:00,0,0.6,0,92,0.5,0,92
1988,2.33333,2,8:00,18.4,0.6,0,92,0.5,8,92
1988,2.375,2,9:00,151.8,1.4,0,92,1.1,66,92
1988,2.41667,2,10:00,340.4,2.8,0,90,2,148,90
1988,2.45833,2,11:00,437,5.5,0,84,2.5,190,84
1988,2.5,2,12:00,473.8,6.1,0,83,2.3,206,83
1988,2.54167,2,13:00,354.2,6.8,0,80,2.5,154,80
1988,2.58333,2,14:00,161,6.9,1,80,3.3,70,80
1988,2.625,2,15:00,138,6.4,0,83,3.2,60,83
1988,2.66667,2,16:00,62.1,6,0,85,2.7,27,85
1988,2.70833,2,17:00,11.5,5.5,0,87,2.7,5,87
1988,2.75,2,18:00,0,5.1,0,87,3.6,0,87
1988,2.79167,2,19:00,0,5,0,87,3.1,0,87
